[2024-12-06 13:43:31.269]	 Already installed "tmux-continuum"
[2024-12-06 13:43:31.656]	   "tags" download fail
[2024-12-06 13:43:31.677]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-12-06 13:43:32.073]	 Updating all plugins!
[2024-12-06 13:43:32.076]	 
[2024-12-06 13:43:33.260]	   "tmux-copycat" update success
[2024-12-06 13:43:33.266]	     | Already up to date.
[2024-12-06 13:43:33.272]	   "tmux-resurrect" update success
[2024-12-06 13:43:33.280]	     | Already up to date.
[2024-12-06 13:43:33.326]	   "tmux-continuum" update success
[2024-12-06 13:43:33.330]	     | Already up to date.
[2024-12-06 13:43:33.363]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-12-06 13:43:33.681]	 Done.

[2024-12-06 18:08:05.392]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-12-06 18:08:05.406]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-12-06 18:08:05.891]	 Installing "tags"
[2024-12-06 18:08:05.919]	 Already installed "tmux-resurrect"
[2024-12-06 18:08:05.923]	 Already installed "tmux-copycat"
